0	0           0.0001
0.428	0       0.0001
0.595	0.0001  0.0001
0.667	0.0001  0.0001
0.919	0.0001  0.0001
1.194	0.0002  0.0001
1.502	0.0003  0.0001
1.72	0.0004  0.0001
1.983	0.0008  0.0001
2.263	0.0021  0.0001
2.707	0.0119  0.0001
3.114	0.0532  0.0001
3.209	0.0738  0.0001
3.336	0.1129  0.0001
3.451	0.1634  0.0001
3.583	0.247   0.001
3.735	0.392   0.001
3.955	0.752   0.001
4.082	1.087   0.001
4.201	1.533   0.001
4.356	2.41    0.01
4.496	3.66    0.01
4.712	7.24    0.01
4.915	14.7    0.1
5.079	29.3    0.1

