FFT von Winkelposition, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	0,579
0,0195	0,001
0,0391	0,001
0,0586	0,001
0,0781	7,349E-4
0,0977	8,823E-4
0,1172	8,872E-4
0,1367	9,788E-4
0,1562	9,265E-4
0,1758	9,789E-4
0,1953	8,830E-4
0,2148	0,001
0,2344	8,795E-4
0,2539	0,001
0,2734	0,001
0,2930	9,022E-4
0,3125	9,733E-4
0,3320	9,935E-4
0,3516	9,426E-4
0,3711	0,001
0,3906	9,668E-4
0,4102	9,885E-4
0,4297	9,245E-4
0,4492	9,222E-4
0,4687	0,001
0,4883	0,001
0,5078	0,001
0,5273	0,001
0,5469	0,001
0,5664	0,001
0,5859	0,001
0,6055	6,888E-4
0,6250	9,900E-4
0,6445	0,001
0,6641	0,001
0,6836	0,001
0,7031	0,001
0,7227	0,001
0,7422	0,001
0,7617	0,001
0,7812	9,352E-4
0,8008	8,352E-4
0,8203	5,866E-4
0,8398	7,749E-4
0,8594	0,003
0,8789	0,002
0,8984	0,002
0,9180	0,002
0,9375	0,002
0,9570	0,002
0,9766	0,001
0,9961	0,001
1,0156	0,002
1,0352	0,001
1,0547	0,002
1,0742	0,002
1,0937	0,002
1,1133	0,002
1,1328	0,002
1,1523	0,002
1,1719	0,002
1,1914	0,002
1,2109	0,002
1,2305	0,002
1,2500	0,002
1,2695	0,002
1,2891	0,002
1,3086	0,002
1,3281	0,002
1,3477	0,002
1,3672	0,002
1,3867	0,002
1,4062	0,002
1,4258	0,002
1,4453	0,002
1,4648	0,002
1,4844	0,002
1,5039	0,002
1,5234	0,002
1,5430	0,002
1,5625	0,002
1,5820	0,002
1,6016	0,002
1,6211	0,002
1,6406	0,002
1,6602	0,002
1,6797	0,002
1,6992	0,002
1,7187	0,002
1,7383	0,002
1,7578	0,002
1,7773	0,002
1,7969	0,002
1,8164	0,003
1,8359	0,002
1,8555	0,003
1,8750	0,003
1,8945	0,003
1,9141	0,003
1,9336	0,003
1,9531	0,003
1,9727	0,003
1,9922	0,003
2,0117	0,003
2,0312	0,003
2,0508	0,004
2,0703	0,003
2,0898	0,003
2,1094	0,004
2,1289	0,004
2,1484	0,004
2,1680	0,004
2,1875	0,004
2,2070	0,004
2,2266	0,004
2,2461	0,004
2,2656	0,004
2,2852	0,004
2,3047	0,004
2,3242	0,005
2,3437	0,005
2,3633	0,005
2,3828	0,005
2,4023	0,005
2,4219	0,005
2,4414	0,005
2,4609	0,006
2,4805	0,006
2,5000	0,006
2,5195	0,006
2,5391	0,007
2,5586	0,007
2,5781	0,007
2,5977	0,008
2,6172	0,008
2,6367	0,008
2,6562	0,009
2,6758	0,009
2,6953	0,009
2,7148	0,010
2,7344	0,011
2,7539	0,011
2,7734	0,013
2,7930	0,014
2,8125	0,015
2,8320	0,016
2,8516	0,017
2,8711	0,018
2,8906	0,021
2,9102	0,023
2,9297	0,027
2,9492	0,036
2,9687	0,044
2,9883	0,054
3,0078	0,071
3,0273	0,128
3,0469	1,000
3,0664	0,185
3,0859	0,093
3,1055	0,066
3,1250	0,050
3,1445	0,038
3,1641	0,028
3,1836	0,025
3,2031	0,023
3,2227	0,020
3,2422	0,019
3,2617	0,017
3,2812	0,015
3,3008	0,014
3,3203	0,013
3,3398	0,011
3,3594	0,012
3,3789	0,011
3,3984	0,010
3,4180	0,010
3,4375	0,009
3,4570	0,009
3,4766	0,008
3,4961	0,008
3,5156	0,008
3,5352	0,007
3,5547	0,007
3,5742	0,007
3,5937	0,007
3,6133	0,006
3,6328	0,006
3,6523	0,006
3,6719	0,006
3,6914	0,006
3,7109	0,006
3,7305	0,006
3,7500	0,006
3,7695	0,005
3,7891	0,005
3,8086	0,006
3,8281	0,006
3,8477	0,006
3,8672	0,007
3,8867	0,011
3,9062	0,011
3,9258	0,002
3,9453	0,002
3,9648	0,003
3,9844	0,003
4,0039	0,003
4,0234	0,003
4,0430	0,003
4,0625	0,003
4,0820	0,003
4,1016	0,003
4,1211	0,003
4,1406	0,003
4,1602	0,003
4,1797	0,003
4,1992	0,003
4,2187	0,003
4,2383	0,003
4,2578	0,003
4,2773	0,003
4,2969	0,002
4,3164	0,002
4,3359	0,003
4,3555	0,003
4,3750	0,002
4,3945	0,003
4,4141	0,002
4,4336	0,002
4,4531	0,003
4,4727	0,002
4,4922	0,002
4,5117	0,002
4,5312	0,002
4,5508	0,002
4,5703	0,002
4,5898	0,002
4,6094	0,002
4,6289	0,002
4,6484	0,002
4,6680	0,002
4,6875	0,002
4,7070	0,002
4,7266	0,002
4,7461	0,003
4,7656	0,002
4,7852	0,002
4,8047	0,002
4,8242	0,002
4,8437	0,002
4,8633	0,002
4,8828	0,002
4,9023	0,002
4,9219	0,002
4,9414	0,002
4,9609	0,002
4,9805	0,002
