Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
0,0000	108,71
0,1000	108,71
0,2000	108,71
0,3000	108,70
0,4000	108,70
0,5000	108,69
0,6000	108,69
0,7000	108,69
0,8000	108,68
0,9000	108,68
1,0000	108,68
1,1000	108,68
1,2000	108,67
1,3000	108,67
1,4000	108,67
1,5000	108,67
1,6000	108,66
1,7000	108,66
1,8000	108,66
1,9000	108,66
2,0000	108,65
2,1000	108,65
2,2000	108,65
2,3000	108,64
2,4000	108,64
2,5000	108,64
2,6000	108,63
2,7000	108,63
2,8000	108,63
2,9000	108,63
3,0000	108,62
3,1000	108,62
3,2000	108,62
3,3000	108,62
3,4000	108,61
3,5000	108,61
3,6000	108,61
3,7000	108,60
3,8000	108,60
3,9000	108,60
4,0000	108,60
4,1000	108,59
4,2000	101,20
4,3000	97,10
4,4000	94,45
4,5000	94,28
4,6000	98,60
4,7000	140,93
4,8000	159,95
4,9000	95,01
5,0000	125,24
5,1000	142,87
5,2000	96,20
5,3000	129,78
5,4000	166,96
5,5000	103,38
5,6000	103,90
5,7000	166,00
5,8000	112,76
5,9000	99,00
6,0000	159,22
6,1000	147,32
6,2000	96,68
6,3000	129,20
6,4000	159,67
6,5000	104,19
6,6000	117,47
6,7000	166,39
6,8000	113,84
6,9000	99,08
7,0000	159,55
7,1000	148,18
7,2000	96,92
7,3000	129,60
7,4000	159,84
7,5000	104,45
7,6000	117,99
7,7000	166,83
7,8000	114,01
7,9000	108,69
8,0000	160,00
8,1000	127,15
8,2000	97,53
8,3000	149,42
8,4000	160,37
8,5000	97,79
8,6000	118,45
8,7000	166,96
8,8000	114,33
8,9000	108,85
9,0000	160,33
9,1000	127,53
9,2000	97,49
9,3000	149,80
9,4000	160,35
9,5000	98,11
9,6000	118,81
9,7000	167,37
9,8000	114,39
9,9000	109,24
10,0000	168,67
10,1000	127,27
10,2000	102,57
10,3000	150,68
10,4000	141,27
10,5000	98,24
10,6000	137,78
10,7000	167,15
10,8000	101,80
10,9000	109,62
11,0000	168,89
11,1000	126,93
11,2000	102,81
11,3000	150,95
11,4000	141,19
11,5000	98,11
11,6000	138,45
11,7000	167,13
11,8000	101,81
11,9000	110,21
12,0000	169,11
12,1000	108,63
12,2000	103,23
12,3000	165,70
12,4000	140,50
12,5000	98,87
12,6000	139,27
12,7000	153,97
12,8000	101,54
12,9000	126,54
13,0000	169,08
13,1000	108,32
13,2000	103,68
13,3000	166,07
13,4000	139,77
13,5000	99,30
13,6000	140,45
13,7000	152,83
13,8000	101,14
13,9000	127,60
14,0000	169,23
14,1000	107,76
14,2000	116,37
14,3000	166,51
14,4000	118,11
14,5000	99,62
14,6000	159,19
14,7000	152,37
14,8000	98,04
14,9000	129,05
15,0000	162,63
15,1000	107,02
15,2000	117,74
15,3000	167,17
15,4000	117,13
15,5000	99,79
15,6000	160,13
15,7000	150,46
15,8000	98,12
15,9000	130,55
16,0000	161,51
16,1000	106,18
16,2000	119,08
16,3000	167,73
16,4000	115,28
16,5000	109,82
16,6000	161,41
16,7000	127,85
16,8000	98,22
16,9000	151,58
17,0000	160,18
17,1000	98,58
17,2000	120,63
17,3000	167,16
17,4000	113,85
17,5000	110,99
17,6000	162,74
17,7000	125,96
17,8000	98,34
17,9000	153,28
18,0000	158,82
18,1000	98,37
18,2000	122,22
18,3000	166,36
18,4000	101,37
18,5000	112,55
18,6000	169,43
18,7000	123,99
18,8000	104,89
18,9000	155,16
19,0000	137,21
19,1000	98,42
19,2000	143,65
19,3000	165,82
19,4000	100,56
19,5000	114,34
19,6000	169,32
19,7000	121,58
19,8000	106,31
19,9000	157,13
20,0000	134,66
20,1000	98,29
20,2000	146,38
20,3000	164,11
20,4000	99,86
20,5000	116,19
20,6000	168,89
20,7000	104,57
20,8000	107,96
20,9000	168,94
21,0000	131,58
21,1000	101,98
21,2000	149,05
21,3000	144,64
21,4000	99,37
21,5000	137,06
21,6000	168,17
21,7000	103,12
21,8000	109,86
21,9000	169,49
22,0000	128,39
22,1000	103,24
22,2000	152,05
22,3000	141,36
22,4000	98,93
22,5000	140,39
22,6000	153,82
22,7000	101,82
22,8000	128,42
22,9000	169,43
23,0000	107,84
23,1000	105,01
23,2000	167,16
23,3000	137,64
23,4000	100,19
23,5000	143,99
23,6000	150,26
23,7000	100,58
23,8000	131,97
23,9000	169,35
24,0000	105,74
24,1000	106,98
24,2000	168,55
24,3000	133,72
24,4000	101,39
24,5000	147,60
24,6000	146,58
24,7000	99,82
24,8000	135,75
24,9000	157,93
25,0000	103,91
25,1000	124,37
25,2000	169,46
25,3000	111,32
25,4000	102,76
25,5000	165,57
25,6000	142,59
25,7000	99,32
25,8000	139,33
25,9000	154,76
26,0000	102,17
26,1000	128,08
26,2000	169,66
26,3000	108,51
26,4000	104,79
26,5000	167,19
26,6000	138,55
26,7000	100,00
26,8000	143,29
26,9000	151,26
27,0000	98,45
27,1000	131,48
27,2000	161,14
27,3000	106,17
27,4000	120,60
27,5000	168,49
27,6000	114,39
27,7000	101,31
27,8000	163,53
27,9000	146,96
28,0000	98,94
28,1000	135,37
28,2000	157,99
28,3000	103,99
28,4000	124,32
28,5000	169,45
28,6000	111,32
28,7000	102,65
28,8000	165,53
28,9000	142,56
29,0000	99,33
29,1000	157,87
29,2000	154,57
29,3000	98,71
29,4000	128,48
29,5000	163,65
29,6000	108,06
29,7000	117,70
29,8000	167,60
29,9000	117,58
30,0000	100,25
30,1000	161,22
30,2000	150,77
30,3000	98,73
30,4000	132,16
30,5000	160,97
30,6000	105,85
30,7000	121,50
30,8000	168,64
30,9000	113,99
31,0000	101,72
31,1000	163,55
31,2000	125,13
31,3000	99,11
31,4000	154,59
31,5000	157,80
31,6000	98,60
31,7000	124,82
31,8000	165,97
31,9000	110,69
32,0000	115,05
32,1000	165,76
32,2000	121,22
32,3000	99,77
32,4000	157,93
32,5000	154,26
32,6000	98,50
32,7000	128,50
32,8000	163,80
32,9000	107,88
33,0000	118,28
33,1000	167,43
33,2000	117,12
33,3000	110,01
33,4000	161,48
33,5000	128,79
33,6000	98,84
33,7000	152,21
33,8000	160,55
33,9000	98,95
34,0000	121,77
34,1000	167,41
34,2000	113,32
34,3000	112,76
34,4000	164,01
34,5000	124,04
34,6000	99,23
34,7000	155,77
34,8000	156,96
34,9000	98,58
35,0000	126,10
35,1000	165,51
35,2000	109,75
35,3000	116,14
35,4000	169,11
35,5000	119,51
35,6000	108,42
35,7000	159,37
35,8000	132,01
35,9000	98,55
36,0000	149,63
36,1000	162,50
36,2000	99,32
36,3000	119,87
36,4000	168,59
36,5000	115,63
36,6000	111,11
36,7000	162,64
36,8000	127,07
36,9000	98,79
37,0000	154,02
37,1000	158,68
37,2000	98,66
37,3000	123,93
37,4000	166,54
37,5000	101,06
37,6000	114,42
37,7000	169,73
37,8000	122,00
37,9000	107,05
38,0000	157,85
38,1000	134,32
38,2000	98,38
38,3000	147,66
38,4000	163,89
38,5000	99,70
38,6000	118,20
38,7000	168,93
38,8000	117,59
38,9000	109,71
39,0000	161,15
39,1000	129,17
39,2000	98,66
39,3000	151,91
39,4000	160,37
39,5000	98,85
39,6000	140,93
39,7000	167,33
39,8000	101,75
39,9000	112,96
40,0000	169,82
40,1000	124,18
40,2000	106,02
40,3000	156,25
40,4000	136,60
40,5000	98,57
40,6000	145,75
40,7000	165,03
40,8000	100,27
40,9000	116,53
41,0000	169,37
41,1000	119,48
41,2000	108,61
41,3000	159,93
41,4000	131,30
41,5000	98,55
41,6000	150,33
41,7000	143,76
41,8000	99,19
41,9000	139,24
42,0000	167,95
42,1000	102,45
42,2000	111,66
42,3000	169,85
42,4000	125,75
