Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
0,0000	0,000
0,1000	0,000
0,2000	0,000
0,3000	0,000
0,4000	0,000
0,5000	0,000
0,6000	0,000
0,7000	0,000
0,8000	0,000
0,9000	0,000
1,0000	0,000
1,1000	0,000
1,2000	0,000
1,3000	0,000
1,4000	0,000
1,5000	0,000
1,6000	0,000
1,7000	0,000
1,8000	0,000
1,9000	0,000
2,0000	0,000
2,1000	0,000
2,2000	0,000
2,3000	0,000
2,4000	0,000
2,5000	0,000
2,6000	0,000
2,7000	0,000
2,8000	0,000
2,9000	0,000
3,0000	0,000
3,1000	0,000
3,2000	0,000
3,3000	0,000
3,4000	0,000
3,5000	0,000
3,6000	0,000
3,7000	0,000
3,8000	0,000
3,9000	0,000
4,0000	0,000
4,1000	0,000
4,2000	-0,035
4,3000	-0,245
4,4000	-0,785
4,5000	-1,532
4,6000	-1,668
4,7000	-0,371
4,8000	0,102
4,9000	-1,679
5,0000	-0,416
5,1000	-0,173
5,2000	-1,758
5,3000	-0,647
5,4000	0,220
5,5000	-1,404
5,6000	-1,255
5,7000	0,199
5,8000	-0,829
5,9000	-1,660
6,0000	-0,086
6,1000	-0,190
6,2000	-1,759
6,3000	-0,576
6,4000	0,185
6,5000	-1,502
6,6000	-1,147
6,7000	0,223
6,8000	-0,947
6,9000	-1,602
7,0000	-0,009
7,1000	-0,302
7,2000	-1,767
7,3000	-0,463
7,4000	0,138
7,5000	-1,582
7,6000	-1,030
7,7000	0,240
7,8000	-1,079
7,9000	-1,524
8,0000	0,060
8,1000	-0,426
8,2000	-1,764
8,3000	-0,353
8,4000	0,075
8,5000	-1,651
8,6000	-0,911
8,7000	0,245
8,8000	-1,205
8,9000	-1,436
9,0000	0,119
9,1000	-0,559
9,2000	-1,740
9,3000	-0,248
9,4000	-0,008
9,5000	-1,707
9,6000	-0,784
9,7000	0,239
9,8000	-1,324
9,9000	-1,330
10,0000	0,170
10,1000	-0,705
10,2000	-1,700
10,3000	-0,145
