Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
0,0000	104,85
0,1000	131,06
0,2000	177,62
0,3000	110,76
0,4000	111,41
0,5000	177,99
0,6000	129,68
0,7000	110,01
0,8000	165,21
0,9000	134,67
1,0000	101,94
1,1000	161,87
1,2000	138,84
1,3000	101,73
1,4000	158,24
1,5000	165,36
1,6000	101,82
1,7000	133,24
1,8000	168,94
1,9000	108,93
2,0000	129,89
2,1000	179,15
2,2000	111,22
2,3000	111,05
2,4000	178,97
2,5000	132,95
2,6000	109,12
2,7000	164,35
2,8000	137,36
2,9000	101,94
3,0000	160,72
3,1000	141,83
3,2000	101,90
3,3000	156,86
3,4000	168,40
3,5000	102,16
3,6000	131,83
3,7000	171,58
3,8000	110,40
3,9000	128,25
4,0000	180,02
4,1000	112,85
4,2000	109,99
4,3000	179,28
4,4000	135,95
4,5000	108,01
4,6000	162,75
4,7000	140,52
4,8000	101,93
4,9000	158,78
5,0000	167,62
5,1000	102,00
5,2000	154,84
5,3000	171,09
5,4000	102,41
5,5000	129,57
5,6000	174,02
5,7000	112,12
5,8000	125,97
5,9000	179,90
6,0000	114,97
6,1000	108,66
6,2000	178,69
6,3000	139,30
6,4000	106,76
6,5000	160,04
6,6000	144,10
6,7000	101,94
6,8000	155,96
6,9000	170,45
7,0000	102,21
7,1000	130,54
7,2000	173,48
7,3000	102,76
7,4000	126,82
7,5000	176,01
7,6000	114,13
7,7000	123,35
7,8000	179,08
7,9000	117,40
8,0000	107,02
8,1000	177,24
8,2000	143,29
8,3000	105,35
8,4000	156,69
8,5000	148,11
8,6000	102,08
8,7000	152,75
8,8000	173,04
8,9000	102,58
9,0000	127,37
9,1000	175,79
9,2000	113,73
9,3000	123,76
9,4000	178,02
9,5000	116,87
9,6000	120,28
9,7000	177,66
9,8000	120,65
9,9000	105,53
10,0000	175,49
10,1000	147,38
10,2000	104,13
10,3000	153,25
10,4000	152,10
10,5000	102,41
10,6000	149,07
10,7000	175,45
10,8000	103,25
10,9000	124,18
11,0000	177,74
11,1000	116,34
11,2000	120,73
11,3000	179,48
11,4000	119,92
11,5000	117,51
11,6000	175,81
11,7000	123,76
11,8000	104,20
11,9000	173,13
12,0000	151,39
12,1000	103,16
12,2000	149,79
12,3000	155,70
12,4000	102,97
12,5000	145,54
12,6000	177,48
12,7000	104,12
12,8000	121,27
12,9000	179,30
13,0000	119,30
13,1000	117,97
13,2000	176,25
13,3000	123,06
13,4000	114,98
13,5000	173,73
13,6000	127,05
13,7000	103,27
13,8000	170,77
13,9000	155,03
14,0000	102,42
14,1000	146,05
14,2000	159,64
14,3000	103,92
14,4000	141,42
14,5000	179,28
14,6000	105,47
14,7000	118,13
14,8000	180,54
14,9000	122,71
15,0000	115,07
15,1000	173,94
15,2000	126,93
15,3000	103,32
15,4000	170,90
15,5000	131,05
15,6000	102,44
15,7000	167,34
15,8000	159,45
15,9000	101,81
16,0000	141,81
16,1000	163,71
16,2000	105,17
16,3000	137,50
16,4000	180,53
16,5000	107,11
16,6000	115,42
16,7000	181,08
16,8000	126,40
16,9000	112,69
17,0000	171,33
17,1000	130,47
17,2000	102,50
17,3000	167,98
17,4000	158,84
17,5000	101,82
17,6000	164,02
17,7000	163,24
17,8000	101,50
17,9000	138,05
18,0000	167,31
18,1000	106,70
18,2000	134,06
18,3000	181,12
18,4000	108,78
18,5000	113,19
18,6000	181,31
18,7000	129,70
18,8000	110,76
18,9000	168,69
19,0000	134,06
