Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
0,0000	-24,1
0,2000	-24,1
0,4000	-24,1
0,6000	-24,1
0,8000	-24,1
1,0000	-24,1
1,2000	-24,1
1,4000	-24,1
1,6000	-24,0
1,8000	-24,0
2,0000	-24,0
2,2000	-23,9
2,4000	-23,9
2,6000	-23,8
2,8000	-23,7
3,0000	-23,7
3,2000	-23,6
3,4000	-23,5
3,6000	-23,5
3,8000	-23,4
4,0000	-23,3
4,2000	-23,2
4,4000	-23,1
4,6000	-23,0
4,8000	-23,0
5,0000	-22,9
5,2000	-22,8
5,4000	-22,7
5,6000	-22,6
5,8000	-22,5
6,0000	-22,4
6,2000	-22,3
6,4000	-22,1
6,6000	-22,0
6,8000	-21,9
7,0000	-21,8
7,2000	-21,7
7,4000	-21,6
7,6000	-21,5
7,8000	-21,4
8,0000	-21,3
8,2000	-21,2
8,4000	-21,0
8,6000	-20,9
8,8000	-20,8
9,0000	-20,7
9,2000	-20,6
9,4000	-20,4
9,6000	-20,3
9,8000	-20,2
10,0000	-20,1
10,2000	-20,0
10,4000	-19,8
10,6000	-19,7
10,8000	-19,6
11,0000	-19,5
11,2000	-19,4
11,4000	-19,2
11,6000	-19,1
11,8000	-19,0
12,0000	-18,8
12,2000	-18,7
12,4000	-18,6
12,6000	-18,5
12,8000	-18,3
13,0000	-18,2
13,2000	-18,1
13,4000	-18,0
13,6000	-17,8
13,8000	-17,7
14,0000	-17,6
14,2000	-17,5
14,4000	-17,3
14,6000	-17,2
14,8000	-17,1
15,0000	-16,9
15,2000	-16,8
15,4000	-16,7
15,6000	-16,6
15,8000	-16,4
16,0000	-16,3
16,2000	-16,2
16,4000	-16,0
16,6000	-15,9
16,8000	-15,8
17,0000	-15,7
17,2000	-15,5
17,4000	-15,4
17,6000	-15,3
17,8000	-15,2
18,0000	-15,0
18,2000	-14,9
18,4000	-14,8
18,6000	-14,6
18,8000	-14,5
19,0000	-14,4
19,2000	-14,3
19,4000	-14,1
19,6000	-14,0
19,8000	-13,9
20,0000	-13,7
20,2000	-13,6
20,4000	-13,5
20,6000	-13,4
20,8000	-13,2
21,0000	-13,1
21,2000	-13,0
21,4000	-12,9
21,6000	-12,8
21,8000	-12,6
22,0000	-12,5
22,2000	-12,4
22,4000	-12,3
22,6000	-12,1
22,8000	-12,0
23,0000	-11,9
23,2000	-11,8
23,4000	-11,6
23,6000	-11,5
23,8000	-11,4
24,0000	-11,3
24,2000	-11,2
24,4000	-11,0
24,6000	-10,9
24,8000	-10,8
25,0000	-10,7
25,2000	-10,5
25,4000	-10,4
25,6000	-10,3
25,8000	-10,2
26,0000	-10,1
26,2000	-9,9
26,4000	-9,8
26,6000	-9,7
26,8000	-9,6
27,0000	-9,5
27,2000	-9,3
27,4000	-9,2
27,6000	-9,1
27,8000	-9,0
28,0000	-8,9
28,2000	-8,8
28,4000	-8,6
28,6000	-8,5
28,8000	-8,4
29,0000	-8,3
29,2000	-8,2
29,4000	-8,1
29,6000	-7,9
29,8000	-7,8
30,0000	-7,7
30,2000	-7,6
30,4000	-7,5
30,6000	-7,4
30,8000	-7,3
31,0000	-7,1
31,2000	-7,0
31,4000	-6,9
31,6000	-6,8
31,8000	-6,7
32,0000	-6,6
32,2000	-6,5
32,4000	-6,4
32,6000	-6,3
32,8000	-6,2
33,0000	-6,1
33,2000	-6,0
33,4000	-5,9
33,6000	-5,7
33,8000	-5,6
34,0000	-5,5
34,2000	-5,4
34,4000	-5,3
34,6000	-5,2
34,8000	-5,1
35,0000	-5,0
35,2000	-4,9
35,4000	-4,8
