Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
-0,713	108,41
-0,726	108,00
-0,740	107,52
-0,754	107,02
-0,768	106,63
-0,782	106,23
-0,795	105,85
-0,809	105,43
-0,822	105,02
-0,833	104,68
-0,845	104,30
-0,856	103,81
-0,869	103,57
-0,880	103,22
-0,891	102,92
-0,902	102,54
-0,913	102,23
-0,922	102,02
-0,931	101,67
-0,941	101,39
-0,949	101,19
-0,957	100,83
-0,966	100,58
-0,974	100,38
-0,982	100,17
-0,988	99,97
-0,994	99,73
-1,001	99,53
-1,007	99,38
-1,013	99,21
-1,019	99,00
-1,024	98,86
-1,029	98,67
-1,034	98,53
-1,038	98,43
-1,043	98,25
-1,046	98,14
-1,049	98,00
-1,052	97,93
-1,056	97,81
-1,057	97,71
-1,059	97,64
-1,060	97,60
-1,062	97,49
-1,063	97,48
-1,063	97,46
-1,063	97,42
-1,063	97,37
-1,063	97,37
-1,063	97,36
-1,063	97,37
-1,062	97,36
-1,060	97,33
-1,059	97,37
-1,057	97,35
-1,054	97,33
-1,051	97,35
-1,048	97,45
-1,045	97,48
-1,041	97,50
-1,037	97,50
-1,030	97,61
-1,026	97,71
-1,021	97,79
-1,015	97,90
-1,010	98,03
-1,002	98,12
-0,996	98,26
-0,988	98,41
-0,980	98,53
-0,972	98,62
-0,964	98,84
-0,957	98,96
-0,949	99,15
-0,939	99,29
-0,930	99,46
-0,920	99,65
-0,911	99,84
-0,900	100,04
-0,889	100,26
-0,880	100,47
-0,869	100,70
-0,856	101,01
-0,845	101,20
-0,833	101,49
-0,822	101,74
-0,809	101,97
-0,796	102,27
-0,784	102,51
-0,770	102,83
-0,756	103,16
-0,741	103,39
-0,727	103,76
-0,713	104,14
-0,699	104,38
-0,685	104,73
-0,671	105,06
-0,655	105,42
-0,639	105,84
-0,624	106,15
-0,608	106,58
-0,592	106,98
-0,576	107,37
-0,561	107,79
-0,543	108,25
-0,526	108,58
-0,509	109,10
-0,493	109,48
-0,476	109,98
-0,459	110,47
-0,441	110,89
-0,424	111,41
-0,407	111,98
-0,390	112,42
-0,371	112,98
-0,353	113,54
-0,335	114,03
-0,317	114,64
-0,300	115,14
-0,281	115,80
-0,262	116,41
-0,245	116,95
-0,226	117,60
-0,209	118,22
-0,190	118,77
-0,173	119,47
-0,154	120,12
-0,135	120,68
-0,116	121,37
-0,099	121,95
-0,082	122,73
-0,063	123,34
-0,044	123,93
-0,027	124,70
-0,008	125,46
0,009	126,06
0,027	126,79
0,046	127,45
0,063	128,27
0,080	129,07
0,097	129,74
0,115	130,59
0,132	131,37
0,149	132,06
0,167	132,91
0,182	133,79
0,199	134,50
0,217	135,38
0,232	136,01
0,250	136,91
0,265	137,80
0,281	138,53
0,297	139,36
0,313	140,28
0,328	140,93
0,344	141,84
0,358	142,79
0,374	143,46
0,390	144,38
0,404	145,31
0,418	145,99
