FFT von Winkelposition, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,0000	0,983
0,0977	0,002
0,1953	0,002
0,2930	0,002
0,3906	0,002
0,4883	0,002
0,5859	0,002
0,6836	0,002
0,7813	0,002
0,8789	0,002
0,9766	0,002
1,0742	0,003
1,1719	0,002
1,2695	0,003
1,3672	0,003
1,4648	0,003
1,5625	0,003
1,6602	0,003
1,7578	0,004
1,8555	0,004
1,9531	0,004
2,0508	0,004
2,1484	0,004
2,2461	0,005
2,3438	0,005
2,4414	0,005
2,5391	0,005
2,6367	0,006
2,7344	0,006
2,8320	0,006
2,9297	0,007
3,0273	0,007
3,1250	0,008
3,2227	0,008
3,3203	0,009
3,4180	0,009
3,5156	0,010
3,6133	0,011
3,7109	0,012
3,8086	0,013
3,9063	0,014
4,0039	0,016
4,1016	0,018
4,1992	0,019
4,2969	0,023
4,3945	0,027
4,4922	0,031
4,5898	0,039
4,6875	0,049
4,7852	0,064
4,8828	0,097
4,9805	0,261
5,0781	1,000
5,1758	0,186
5,2734	0,090
5,3711	0,060
5,4688	0,047
5,5664	0,040
5,6641	0,033
5,7617	0,029
5,8594	0,026
5,9570	0,022
6,0547	0,021
6,1523	0,019
6,2500	0,017
6,3477	0,016
6,4453	0,015
6,5430	0,014
6,6406	0,014
6,7383	0,013
6,8359	0,012
6,9336	0,012
7,0313	0,011
7,1289	0,011
7,2266	0,010
7,3242	0,010
7,4219	0,010
7,5195	0,009
7,6172	0,009
7,7148	0,009
7,8125	0,008
7,9102	0,008
8,0078	0,008
8,1055	0,008
8,2031	0,008
8,3008	0,007
8,3984	0,007
8,4961	0,007
8,5938	0,007
8,6914	0,007
8,7891	0,007
8,8867	0,006
8,9844	0,006
9,0820	0,006
9,1797	0,006
9,2773	0,006
9,3750	0,006
9,4727	0,006
9,5703	0,006
9,6680	0,006
9,7656	0,006
9,8633	0,006
9,9609	0,007
10,0586	0,011
10,1563	0,011
10,2539	0,005
10,3516	0,005
10,4492	0,005
10,5469	0,005
10,6445	0,004
10,7422	0,005
10,8398	0,004
10,9375	0,004
11,0352	0,004
11,1328	0,004
11,2305	0,004
11,3281	0,004
11,4258	0,004
11,5234	0,004
11,6211	0,004
11,7188	0,004
11,8164	0,004
11,9141	0,004
12,0117	0,004
12,1094	0,004
12,2070	0,004
12,3047	0,004
12,4023	0,004
12,5000	0,004
12,5977	0,004
12,6953	0,004
12,7930	0,004
12,8906	0,004
12,9883	0,004
13,0859	0,003
13,1836	0,004
13,2813	0,003
13,3789	0,003
13,4766	0,003
13,5742	0,003
13,6719	0,003
13,7695	0,003
13,8672	0,003
13,9648	0,003
14,0625	0,003
14,1602	0,003
14,2578	0,003
14,3555	0,003
14,4531	0,003
14,5508	0,003
14,6484	0,003
14,7461	0,003
14,8438	0,003
14,9414	0,002
15,0391	0,002
15,1367	0,005
15,2344	0,007
15,3320	0,005
15,4297	0,004
15,5273	0,004
15,6250	0,004
15,7227	0,004
15,8203	0,003
15,9180	0,003
16,0156	0,003
16,1133	0,003
16,2109	0,003
16,3086	0,003
16,4063	0,003
16,5039	0,003
16,6016	0,003
16,6992	0,003
16,7969	0,003
16,8945	0,003
16,9922	0,003
17,0898	0,003
17,1875	0,003
17,2852	0,003
17,3828	0,003
17,4805	0,003
17,5781	0,003
17,6758	0,003
17,7734	0,003
17,8711	0,003
17,9688	0,003
18,0664	0,003
18,1641	0,003
18,2617	0,003
18,3594	0,003
18,4570	0,003
18,5547	0,003
18,6523	0,003
18,7500	0,003
18,8477	0,003
18,9453	0,003
19,0430	0,003
19,1406	0,003
19,2383	0,003
19,3359	0,003
19,4336	0,003
19,5313	0,003
19,6289	0,003
19,7266	0,003
19,8242	0,003
19,9219	0,003
20,0195	0,003
20,1172	0,003
20,2148	0,003
20,3125	0,002
20,4102	0,002
20,5078	0,002
20,6055	0,003
20,7031	0,003
20,8008	0,003
20,8984	0,003
20,9961	0,003
21,0938	0,003
21,1914	0,003
21,2891	0,002
21,3867	0,003
21,4844	0,003
21,5820	0,003
21,6797	0,002
21,7773	0,002
21,8750	0,003
21,9727	0,002
22,0703	0,003
22,1680	0,003
22,2656	0,003
22,3633	0,002
22,4609	0,002
22,5586	0,002
22,6563	0,002
22,7539	0,003
22,8516	0,002
22,9492	0,002
23,0469	0,002
23,1445	0,002
23,2422	0,003
23,3398	0,002
23,4375	0,002
23,5352	0,002
23,6328	0,002
23,7305	0,003
23,8281	0,002
23,9258	0,003
24,0234	0,002
24,1211	0,002
24,2188	0,002
24,3164	0,002
24,4141	0,002
24,5117	0,002
24,6094	0,002
24,7070	0,003
24,8047	0,002
24,9023	0,003
